id,question
800001,预期不能为企业带来经济利益的资源不能确认为资产是错的。
800002,请问下物流公司税负率多少？老师
800003,老师，两个人投资设立的有限公司，可以申请核定征收吗？如果可以，怎么申请？核定的话，是怎么交税？
800004,宋老师，要是公司名下没车，停车费和过路费能入差旅费吗？
800005,"要打的借条到底是10元还是8元？刚才群里的老师说是8元。
10元还有这种情况，就是前一任出纳每次转钱给老板时是有打借条的。中间换了人，后一任出纳没让打借条，然后又换了一个出纳，那要补的借条怎么补"
800006,老师，建筑业增值税税负率是3%，是什么意思呀，是按照收入的标准来算的吗？
800007,@宋老师:续之前企业所得税申报的问题，请问正确的本年累计数，是以税局申报系统里面的金额为准吗？
800008,请问，实操中我下载的报表excel都是受保护的，我想对表格进行编辑学习，怎么能撤销保护，密码是多少？
800009,与外商投资企业发生业务 外商投资企业会开发票吗
800011,@邹老师: 老师您看下案例题分录 或许就明白了
800012,老师，企业所得税第一季度亏损，第二季度盈利，申报第二季度的时候可以弥补第一季度的亏损后的利润总额来缴税吗？企业所得税是按本期数的金额还是按累计数的金额来计得缴税的？
800013,老师您好！保洁公司给我们开的保洁费发票我们入管理费用哪个明细下较合适
800014,开票单价大于开票限额，这样怎么开票
800015,驾校的教练车二手车评估费入什么科目？
800016,我想问一下，我是在代理公司做外账的。现在有一家15年的企业要注销。因为换过挺多个会计接手的，之前的会计一直有帮这个企业做租金！！问题出现在这个企业是挂靠在我们公司的，。上一年的账我是不是最好不要动？还有我应该要怎么帮这个企业调账？
800017,老师好，别人在税局大厅给我们开的增值税专用发票的抵扣联丟了，怎么办，这张发票还能用吗，谢谢！
800018,我公司现在有一张进项票是失控发票，现在进项税已经交了。那账的分录该怎么做
800019,物业公司开票开：水电公摊的，水电费不算我们的收入，要把水电公摊的计入其他应付款吗？是水电公摊的是价税合计一并计入其他应付款，还是要把税款分出来计入应缴税费-应交增值税
800020,老师，做会展咨询的小规模公司一年开票金额达到多少会成为一般纳税人
800021,房产取得是2016年5月前取得的，租金采用简易征收的话，分录是：借：应收帐款，贷：主营业务收入，贷：应交税金－简易征收？
800022,"老师，所得税汇算清缴的税费在补交所得税后,这个税费在6月30日进行财务报表填制的时候应该填在哪里？"
800024,9月认证的发票，做到10月的账里，请问这样合规吗
800025,出口产品需要到工商办理哪些手续
800026,我们是建筑公司，收到工程款后写的是借：银行存款  贷：预收账款，给对方公司开票后应该怎样上账呢
800027,你好老师，小规模纳税人增值税申报一个季度的报表是哪个月份的，比如第三季度的，按哪个月的报表呢，是9月份的还是怎样
800028,老师 负债清偿损益明细表里 无法清偿的20000元其他应付款怎么填
800029,个人租汽车给公司，除了国税缴纳增值税、地税印花税等，个人租入的收入要不要交个人所得税啊？
800030,你好，我开一张技术服务费的发票专票出去，分录怎么做呢
800031,"老师：每月末做结转期间损益，到年末12月时，是不是要把本年利润余额结转到利润分配/末分配利润？
借：利润分配/未分配利润      
      贷：本年利润"
800032,请问缴纳的房租到年底一次性计提全年的房租可以吗？该如何入账做分录？
800033,会计做帐要准备什么帐薄之类的。谢谢，制造业的
800034,速达软件，财务费用利息收入不会在汇总表中体现，导致财务费用余额不对
800035,老师，公司招聘的临时工、兼职工需要签临时工协议吗？
800036,办公室租金费用入什么会计科目，具体到二级科目
800037,"老师，我财务报表上只有3个数据；货币资金1000，其他应付款20000，未分配利润为-19000,。请问资产处置损益明细表和负债清偿损益明细表怎么填"
800038,老师 公司一直有两个人在交社保了 其他业务没有了 但是2016.11月份的税忘记申报了 后来在12月份罚款了200 社保银行流水上也没扣 那12月份的帐要怎么做 工资还要计提吗 11月份没有社保扣掉 那发工资的时候怎么算 以前一直没有做账的 现在想要改正确
800039,老师，这个记2是指记账凭证2号凭证，那这个2241啊其他应付款代表什么？
800040,老师您好，我想请问下，我们一家合伙企业的A股东把自己的股份转让给B股东溢价转让，请问这个要交个税不，是按照财产转让所得交税吗。个税是由谁代扣代缴
800041,老师 公司车间采购消毒剂计入什么科目和二级科目呢？
800042,老师，这道题看了答案之后，我发现，他的手续费并没有进当期损益，还有一个递延收益 600我不明白；待处理财产损益 还有个20也不明白
800044,请问：建筑劳务公司的成本项是什么？谢谢！！
800045,你好！老师，我们筹建期，是一期，有安评费，环评费，技术服务费是1期和2期的，但2期不知道什么时候建，也有可能不建，我把这些费用放在管理费用——开办费，可以吗？
800046,"员工开发票放错发票纸了，现在联系客人追回发票，客人说发票不见了，又要让我们再来一张给他，咋办
小规模"
800047,网银收到拉卡拉0.01元 怎么做账？
800048,老板想好查厂家的单价，要求进货单归类一起放，我记账不能这样放，怎么办？老板说有时候想查厂家的进货价
800049,老板想好查厂家的单价，要求进货单归类一起放，我记账不能这样放，怎么办？老板说有时候想查厂家的进货价
800050,老师我想问一下，工装之类的劳保用品一般放在什么科目里呀
800052,老师，软件开发普票税率是6%吗？
800053,那我要怎么办，作废上一张不行吗
800054,你好， 公司的帐20017年8月之前 税都是代账公司报，所得税4-6月代账公司报盈利2万多，交了几百元的税钱  代账公司都没做账，我接回来之后，我做账 我做了4-6月报表盈利了20万，这样要紧吗？ 但是账务做到9月后，为了少交所得税  做了盈利3万多，7-9月是亏损的 因为9月结转了所有的工程材料和劳务成本， 4-6月盈利的有收入的是卖产品的收入，公司没有相应 的成本票 也没费用票来抵 导致4-6月 盈利20万，但是申报4-6月所得税才报盈利两万多点，我这样我有什么责任风险吗 或则税务上有什么风险吗
800055,老板以20万收购一家公司的60%股份，但是法人和公司名字不变，要税司及工商变更，那对公银行账户是怎么操作的，你有没有相关的转让协议或者合作协议样板呢
800056,请问购买课件是多少钱？
800057,老师，年底发双薪的话，是不是第13个月的工资单独计算？
800058,老师 我们是小规模纳税人，甲方提供材料，对我们有什么影响吗  成本怎么核算
800059,老师，个体工商户个人所得税是一年一交还是每月都交的？那计算依据是什么呢？目前有两家门店，法人不一样，一个店是每个月都一样的个人所得税，一家店确实不用交。问税务局，说开票金额没有达到所以不交，我有些不懂，请老师跟我解释一下。
800060,老师，比如员工基本工资3000，奖金800，12月份发放双薪制，那么双薪的个税怎么计算？是不是3800/12确定税率为3%，然后3800*3%？
800061,老师，请问就是公司因为工作需要，需要合作方工作人员来我司所在地办公，然后我司为对方工作人员支付的住宿费是怎么做借方啊
800062,老师，我想问一下就是现金会计需要做哪些工作内容
800063,老师，我们公司开预收款发票，但是当月钱没收到，我怎么处理？
800064,税控设备利技术维护费本期填了附表四，但附表一未填抵扣金额，怎么办
800065,老师，请问发票开错了，跨月的，冲红了，请问他们要将购方发票退给我们吗？
800066,我可以月末按进销存的总收入和总成本一起做一笔分录到记账模块吗？
800067,若是按3%税率计算，企业所得税应该是1213.59元，和5%差额为23.12元。其实我们是3%税率，小规模纳税人，发票开错了，但对方不退票。以上3%和5%税率差，这样情况我们要补增值税和所得税吗？若补缴税了，是不是就要把营业收入也按3%入账呀
800068,采购财务软件，先支付了50%的款项，同时收到了50%款项金额的发票，是先把这50%的金额入账到无形资产吗？最后是等到支付完所有的合同金额，再摊销吗？
800069,请问老师这些数据是填12月份的金额还是填1-12月的累计金额？
800070,"老师你好，我司小规模电力设计公司，设计服务费开票后，分录借:银行存款，贷主营业务收入，应交税金-增值税
需要结转成本费用吗？如需要，怎么做会计分录"
800071,老师，我可不可以不按发票的吨数入库，可不可以按应收数，实收数来做
800072,私立医院营业执照下来了，医院还在装修没开业需要申报税吗？报税需要密钥和报税盘吗
800073,老师，小规模纳税人季度销售额没有超过9万元，但是之前销售商品时让税务机关代开过增值税专用发票，这种情况不是应该不用缴纳增值税的吗？为什么还要交税？
800074,老师，小规模纳税人季度销售额没有超过9万元，但是之前销售商品时让税务机关代开过增值税专用发票，这种情况不是应该不用缴纳增值税的吗？为什么还要交税？
800075,房产税怎么计算，有自有100万平，其中50万平自己用，50万平出租，，这个要怎么算呢？
800076,老师好，看了答案之后，我发现，他的手续费并没有进当期损益，还有一个递延收益 600我不明白；待处理财产损益 还有个20也不明白；如果说是顾客拿20块钱零钱，为什么不计入营业外收入？
800077,老师，请问员工离职，补偿一个月工资5000元，这个要不要交什么税
800078,老师好，公司在银行办法的金卡，收取的年费，怎么做账
800079,资本公积大于公司的注册资金的话，那用资本公积转增资本是不是前期认缴的股东就不用实缴了，直接用资本公积帮他们实缴了？
800080,平价代采购，怎么写分录
800081,@宋老师:续之前企业所得税申报问题，刚才查看之前的申报表，发现2季度申报本期金额有误，导致出现这个差额，请问这样该怎样进行调整？
800082,老师，公司是做创意生态农场的，请问有这方面的核算课程吗？
800083,老师请问一下那个建筑行业的税率怎么定的呀？是建筑行业一般纳税人的那种
800084,去年会计有一笔一千多块钱的增值税是属于小微企业免交的，但是她没有做账务处理  导致我今年的账上一直挂着这笔增值税  怎么处理？以前年度损益调整吗？
800085,老师，职业年金怎样入账
800086,"老师我有一家公司   经营了2年一直没外账
就是之前的会计 一直0申报
那个增值税又  乱申报一个数字 
我这个月 把  外账  全部补齐了，账面满目苍夷
不知道会不会有事"
800087,老师，我公司是家俱生产企业，生产各种型号的木柜子，用的板材有几种，五金件，耗材等，这些材料成本要怎么分摊啊？
800089,老师，请问发票开错了，购方做账了，不愿退回，跨月的，我们开了红字发票，请问票据怎么处理？
